"id_produto","nome","categoria","preco","estoque","unidade"
"1","Caderno 10 matérias","Papelaria","25.90","100","UN"
"2","Lápis de cores 12 cores","Escolar","15.50","200","CX"
"3","Marcador de texto Amarelo","Escrita","4.80","150","UN"
"4","Caderno brochura","Papelaria","12.00","80","UN"
"5","Caderno de caligrafia","Escolar","9.50","60","UN"
"6","Caneta Azul","Escrita","2.50","500","UN"
"7","Caneta Preta","Escrita","2.50","450","UN"
"8","Caneta Vermelha","Escrita","2.50","300","UN"
"9","Lapiseira 0.7","Escrita","18.90","120","UN"
"10","Borracha Branca","Escolar","1.50","400","UN"
"11","Cola Bastão","Escolar","6.50","90","UN"
"12","Régua 30cm","Escolar","3.20","110","UN"
"13","Tesoura Escolar","Escolar","7.90","70","UN"
"14","Apontador com depósito","Escolar","5.50","130","UN"
"15","Papel A4 500fls","Suprimentos","32.00","50","PT"
"16","Grampeador Pequeno","Escritório","22.00","40","UN"
"17","Clips n2 100un","Escritório","4.50","300","CX"
"18","Estojo Simples","Escolar","14.00","85","UN"
"19","Mochila Básica","Escolar","89.90","25","UN"
"20","Calculadora Científica","Eletrônicos","65.00","15","UN"
"21","Produto Negativo","Teste","-10.00","10","UN"
"22","Estoque Negativo","Papelaria","5.00","-5","UN"
"23","Caneta S/ Unidade","Escrita","2.50","1000",\N
"24","Item Outlier","ESCOLAR","9999.99","1","UN"
"25","Item S/ Categoria",\N,"1.99","100","UN"
